Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C24,100nF,C_0603_1608Metric,94.666667,-89.75,270,top
C25,100nF,C_0603_1608Metric,151,-73.25,90,top
C25,100nF,C_0603_1608Metric,104,-89.75,270,top
C26,100nF,C_0603_1608Metric,113.333334,-89.75,270,top
C26,100nF,C_0603_1608Metric,141.666666,-73.25,90,top
C27,100nF,C_0603_1608Metric,132.333333,-73.25,90,top
C27,100nF,C_0603_1608Metric,122.666667,-89.75,270,top
C28,100nF,C_0603_1608Metric,132,-89.75,270,top
C28,100nF,C_0603_1608Metric,123,-73.25,90,top
C29,100nF,C_0603_1608Metric,141.333334,-89.75,270,top
C29,100nF,C_0603_1608Metric,113.666666,-73.25,90,top
C30,100nF,C_0603_1608Metric,150.666667,-89.75,270,top
C30,100nF,C_0603_1608Metric,104.333333,-73.25,90,top
C31,100nF,C_0603_1608Metric,95,-73.25,90,top
C31,100nF,C_0603_1608Metric,160,-89.75,270,top
C32,100nF,C_0603_1608Metric,169.333334,-89.75,270,top
C32,100nF,C_0603_1608Metric,85.666666,-73.25,90,top
C33,100nF,C_0603_1608Metric,178.666667,-89.75,270,top
C33,100nF,C_0603_1608Metric,76.333333,-73.25,90,top
C34,100nF,C_0603_1608Metric,67,-73.25,90,top
C34,100nF,C_0603_1608Metric,188,-89.75,270,top
C35,100nF,C_0603_1608Metric,57.666666,-73.25,90,top
C35,100nF,C_0603_1608Metric,197.333334,-89.75,270,top
C36,100nF,C_0603_1608Metric,48.333333,-73.25,90,top
C36,100nF,C_0603_1608Metric,206.666667,-89.75,270,top
C37,100nF,C_0603_1608Metric,39,-73.25,90,top
C37,100nF,C_0603_1608Metric,216,-89.75,270,top
C38,100nF,C_0603_1608Metric,29.666666,-73.25,90,top
C38,100nF,C_0603_1608Metric,225.333334,-89.75,270,top
C39,100nF,C_0603_1608Metric,20.333333,-73.25,90,top
C39,100nF,C_0603_1608Metric,234.666667,-89.75,270,top
C40,100nF,C_0603_1608Metric,244,-89.75,270,top
C40,100nF,C_0603_1608Metric,11,-73.25,90,top
C41,100nF,C_0603_1608Metric,253.333334,-89.75,270,top
C41,100nF,C_0603_1608Metric,1.666666,-73.25,90,top
C42,100nF,C_0603_1608Metric,-7.666667,-73.25,90,top
C42,100nF,C_0603_1608Metric,262.666667,-89.75,270,top
C43,100nF,C_0603_1608Metric,272,-89.75,270,top
C43,100nF,C_0603_1608Metric,-17,-73.25,90,top
C44,100nF,C_0603_1608Metric,-26.333334,-73.25,90,top
C44,100nF,C_0603_1608Metric,281.333334,-89.75,270,top
C45,100nF,C_0603_1608Metric,-35.666667,-73.25,90,top
C45,100nF,C_0603_1608Metric,290.666667,-89.75,270,top
C46,100nF,C_0603_1608Metric,300,-89.75,270,top
C46,100nF,C_0603_1608Metric,-45,-73.25,90,top
C47,100nF,C_0603_1608Metric,-54.333334,-73.25,90,top
C47,100nF,C_0603_1608Metric,309.333334,-89.75,270,top
C48,100nF,C_0603_1608Metric,318.666667,-89.75,270,top
C48,100nF,C_0603_1608Metric,-63.666667,-73.25,90,top
C49,100nF,C_0603_1608Metric,328,-89.75,270,top
C49,100nF,C_0603_1608Metric,-73,-73.25,90,top
C50,100nF,C_0603_1608Metric,337.333334,-89.75,270,top
C50,100nF,C_0603_1608Metric,-82.333334,-73.25,90,top
C51,100nF,C_0603_1608Metric,346.666667,-89.75,270,top
C51,100nF,C_0603_1608Metric,-91.666667,-73.25,90,top
D1,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-87.166666,-89.75,180,top
D1,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,342.166666,-73.25,0,top
D2,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-77.833333,-89.75,180,top
D2,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,332.833333,-73.25,0,top
D3,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-68.5,-89.75,180,top
D3,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,323.5,-73.25,0,top
D4,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-59.166666,-89.75,180,top
D4,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,314.166666,-73.25,0,top
D5,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-49.833333,-89.75,180,top
D5,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,304.833333,-73.25,0,top
D6,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,295.5,-73.25,0,top
D6,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-40.5,-89.75,180,top
D7,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,286.166666,-73.25,0,top
D7,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-31.166666,-89.75,180,top
D8,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,276.833333,-73.25,0,top
D8,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-21.833333,-89.75,180,top
D9,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,267.5,-73.25,0,top
D9,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-12.5,-89.75,180,top
D10,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-3.166666,-89.75,180,top
D10,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,258.166666,-73.25,0,top
D11,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,248.833333,-73.25,0,top
D11,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,6.166667,-89.75,180,top
D12,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,15.5,-89.75,180,top
D12,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,239.5,-73.25,0,top
D13,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,24.833334,-89.75,180,top
D13,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,230.166666,-73.25,0,top
D14,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,220.833333,-73.25,0,top
D14,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,34.166667,-89.75,180,top
D15,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,211.5,-73.25,0,top
D15,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,43.5,-89.75,180,top
D16,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,202.166666,-73.25,0,top
D16,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,52.833334,-89.75,180,top
D17,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,62.166667,-89.75,180,top
D17,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,192.833333,-73.25,0,top
D18,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,71.5,-89.75,180,top
D18,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,183.5,-73.25,0,top
D19,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,80.833334,-89.75,180,top
D19,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,174.166666,-73.25,0,top
D20,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,164.833333,-73.25,0,top
D20,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,90.166667,-89.75,180,top
D21,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,99.5,-89.75,180,top
D21,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,155.5,-73.25,0,top
D22,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,146.166666,-73.25,0,top
D22,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,108.833334,-89.75,180,top
D23,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,136.833333,-73.25,0,top
D23,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,118.166667,-89.75,180,top
D24,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,127.5,-73.25,0,top
D24,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,127.5,-89.75,180,top
D25,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,136.833334,-89.75,180,top
D25,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,118.166666,-73.25,0,top
D26,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,146.166667,-89.75,180,top
D26,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,108.833333,-73.25,0,top
D27,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,155.5,-89.75,180,top
D27,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,99.5,-73.25,0,top
D28,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,90.166666,-73.25,0,top
D28,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,164.833334,-89.75,180,top
D29,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,80.833333,-73.25,0,top
D29,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,174.166667,-89.75,180,top
D30,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,71.5,-73.25,0,top
D30,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,183.5,-89.75,180,top
D31,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,62.166666,-73.25,0,top
D31,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,192.833334,-89.75,180,top
D32,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,52.833333,-73.25,0,top
D32,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,202.166667,-89.75,180,top
D33,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,43.5,-73.25,0,top
D33,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,211.5,-89.75,180,top
D34,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,34.166666,-73.25,0,top
D34,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,220.833334,-89.75,180,top
D35,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,24.833333,-73.25,0,top
D35,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,230.166667,-89.75,180,top
D36,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,239.5,-89.75,180,top
D36,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,15.5,-73.25,0,top
D37,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,6.166666,-73.25,0,top
D37,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,248.833334,-89.75,180,top
D38,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,258.166667,-89.75,180,top
D38,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-3.166667,-73.25,0,top
D39,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,267.5,-89.75,180,top
D39,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-12.5,-73.25,0,top
D40,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,276.833334,-89.75,180,top
D40,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-21.833334,-73.25,0,top
D41,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-31.166667,-73.25,0,top
D41,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,286.166667,-89.75,180,top
D42,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,295.5,-89.75,180,top
D42,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-40.5,-73.25,0,top
D43,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-49.833334,-73.25,0,top
D43,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,304.833334,-89.75,180,top
D44,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,314.166667,-89.75,180,top
D44,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-59.166667,-73.25,0,top
D45,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,323.5,-89.75,180,top
D45,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-68.5,-73.25,0,top
D46,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,332.833334,-89.75,180,top
D46,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-77.833334,-73.25,0,top
D47,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,342.166667,-89.75,180,top
D47,WS2812B-MINI,LED_WS2812B-MINI_LED-4_3535_3.5x3.5mm,-87.166667,-73.25,0,top
